0	title	release_year	genre	score	platfor
3096	Hoyle Casino [2000]	2002	Casino	8.8	Macintos
3097	Lethal Skies: Elite Pilot -- Team SW	2002	Flight, Action	4.9	PlayStation 
3098	GTC Africa	2002	Racing	7.7	PlayStation 
3099	Bomberman Generation	2002	Adventure	8.1	GameCub
3100	Endgame	2002	Shooter	3.5	PlayStation 
3101	WTA Tour Tennis	2002	Sports	5.8	Game Boy Advance,PlayStation 2,Xbox,GameCub
3102	Sky Gunner	2002	Flight, Action	7.8	PlayStation 
3103	MLB SlugFest 20-03	2002	Sports, Action	8.3	PlayStation 2,Xbox,GameCub
3104	Ultimate Ride Coaster Deluxe	2002	Simulation	7.5	P
3105	Aero the Acrobat	2002	Platformer	7.9	Game Boy Advance,Wi
3106	Age of Empires	2002	Strategy	7	Macintos
3107	Age of Wonders II: The Wizard's Throne	2002	Strategy	8.5	P
3108	Downforce	2002	Racing	7.1	PlayStation 
3109	Neverwinter Nights	2002	RPG	9	PC,Wireles
3110	Bomberman Max 2: Red Advance	2002	Action	7.5	Game Boy Advanc
3111	Bomberman Max 2: Blue Advance	2002	Action	7.5	Game Boy Advanc
3112	Eternal Darkness: Sanity's Requiem	2002	Adventure	9.6	GameCub
3113	Stitch: Experiment 626	2002	Platformer	6	PlayStation 
3114	WWE WrestleMania X8	2002	Wrestling	7	GameCub
3115	Dark Colony	2002	Strategy	6	Macintos
3116	StarCraft: Brood War	2002	Strategy	8	Macintos
3117	Legion: The Legend of Excalibur	2002	Strategy	7.8	PlayStation 
3118	The Pinball of the Dead	2002	Pinball	8	Game Boy Advanc
3119	Stuntman	2002	Racing, Action	8.6	PlayStation 2,Game Boy Advanc
3120	WipEout Fusion	2002	Racing, Action	9	PlayStation 
3121	MechWarrior 4: Inner Sphere Mech Pak	2002	Action, Simulation	5.5	P
3122	Delta Force: Task Force Dagger	2002	Shooter	6	P
3123	Robopon 2: Ring Version	2002	RPG	7	Game Boy Advanc
3124	Birdie Shoot	2002	Shooter	6.5	Macintos
3125	Fireblade	2002	Action	7.7	PlayStation 2,Xbo
3126	Men In Black II: Alien Escape	2002	Shooter	4	PlayStation 
3127	Zoo Tycoon: Dinosaur Digs	2002	Simulation	7	P
3128	OttoMatic	2002	Action	7	PC,Macintos
3129	Assimilation	2002	Puzzle	6.8	P
3130	Magic: The Gathering Online	2002	Card	7.5	P
3131	Bruce Lee: Quest of the Dragon	2002	Fighting, Adventure	3.9	Xbo
3132	Warcraft III: Reign of Chaos	2002	Strategy	9.3	PC,Macintos
3133	LEGO Soccer Mania	2002	Sports	5.5	PlayStation 
3134	Barbarian	2002	Fighting	7.8	PlayStation 2,Xbo
3135	Pryzm: Chapter One: The Dark Unicorn	2002	Action	7	PlayStation 
3136	Romance of the Three Kingdoms VII	2002	Strategy	8.5	PlayStation 
3137	Jazz and Faust	2002	Adventure	2.2	P
3138	Animal Crossing	2002	Simulation	9.1	GameCub
3139	Icewind Dale II	2002	RPG	9	P
3140	Pac-Man Fever	2002	Party	4.5	PlayStation 2,GameCub
3141	Power Rangers: Wild Force	2002	Platformer	5.5	Game Boy Advanc
3142	Blade II	2002	Action	4.9	PlayStation 2,Xbo
3143	Turok: Evolution	2002	Shooter	6.3	PlayStation 2,Xbox,GameCube,Game Boy Advanc
3144	The Feeble Files	2002	Adventure	5.8	Macintos
3145	Monster Force	2002	Action	6.5	Game Boy Advanc
3146	SEGA GT 2002	2002	Racing	8.8	Xbo
3147	The Thing	2002	Action, Adventure	8.3	Xbox,PlayStation 2,P
3148	Mafia	2002	Action, Adventure	9.2	PC,PlayStation 2,Xbo
3149	MechWarrior 4: Clan Mech Pak	2002	Action, Simulation	6	P
3150	Celtic Kings: Rage of War	2002	Strategy	8.2	P
3151	MoonBase Commander	2002	Strategy	8	P
3152	Onimusha 2: Samurai's Destiny	2002	Action, Adventure	8.9	PlayStation 
3153	Madden NFL 2003	2002	Sports	8.2	Game Boy Advance,PC,PlayStation 2,Xbox,GameCub
3154	Medieval: Total War	2002	Strategy	8.9	P
3155	SOCOM: U.S. Navy SEALs	2002	Action	7.5	PlayStation 
3156	Super Monkey Ball 2	2002	Puzzle, Action	9	GameCube,iPhon
3157	Urban Yeti	2002	Action	7	Game Boy Advanc
3158	Super Mario Sunshine	2002	Platformer	9.4	GameCub
3159	The Partners	2002	Simulation	6	P
3160	Hooligans	2002	Strategy	2.3	P
3161	Aliens vs. Predator 2: Primal Hunt	2002	Shooter	6	P
3162	Prisoner of War	2002	Adventure	6.9	Xbox,P
3163	Magical Quest Starring Mickey & Minnie	2002	Action	6	Game Boy Advanc
3164	U.S. Open 2002	2002	Sports	6.4	P
3165	Mat Hoffman's Pro BMX 2	2002	Sports	8.5	Game Boy Advance,Xbox,PlayStation 2,GameCub
3166	Dead to Rights	2002	Action	8.5	Xbox,PlayStation 2,GameCube,P
3167	Stuart Little 2	2002	Action	7	PlayStation,Game Boy Advanc
3168	SEGA Sports Tennis	2002	Sports	8.5	PlayStation 
3169	Medabots AX: Metabee Version	2002	Action	6	Game Boy Advanc
3170	Medabots AX: Rokusho Version	2002	Action	6	Game Boy Advanc
3171	Rock Manager	2002	Simulation	5	P
3172	Shifters	2002	Action	4	PlayStation 
3173	Crime Patrol 2: Drug Wars	2002	Shooter	1	DVD / HD Video Gam
3174	Beach Spikers	2002	Sports	8.2	GameCub
3175	Smuggler's Run: Warzones	2002	Racing, Action	8.4	GameCub
3176	NFL GameDay 2003	2002	Sports	7	PlayStation 
3177	Duke Nukem Advance	2002	Shooter	9	Game Boy Advanc
3178	Street Hoops	2002	Sports	6.7	Xbox,PlayStation 2,GameCub
3179	NFL Blitz 20-03	2002	Sports, Action	7.8	Xbox,GameCube,Game Boy Advance,PlayStation 
3180	Totaled!	2002	Racing, Action	6.1	Xbo
3181	Legion	2002	Strategy	4	P
3182	Crazy Taxi 3:  High Roller	2002	Racing, Action	6.5	Xbo
3183	GT Advance 2 Rally Racing	2002	Racing	8.4	Game Boy Advanc
3184	The Mark of Kri	2002	Action	8.8	PlayStation 
3185	NCAA Football 2003	2002	Sports	8.9	PlayStation 2,Xbox,GameCub
3186	BCT Commander	2002	Strategy	4	P
3187	NCAA GameBreaker 2003	2002	Sports	5.5	PlayStation 
3188	NFL 2K3	2002	Sports	9.1	Xbox,PlayStation 2,GameCub
3189	Hey Arnold! The Movie	2002	Platformer	5.5	Game Boy Advanc
3190	xXx	2002	Action	6	Game Boy Advanc
3191	Enclave	2002	Action	7.2	Xbox,P
3192	GunMetal	2002	Shooter	6.7	Xbo
3193	Capcom vs. SNK: Millennium Fight 2000 Pro	2002	Fighting	8.2	PlayStatio
3194	NCAA College Football 2K3	2002	Sports	6.8	Xbox,PlayStation 2,GameCub
3195	Hidden Invasion	2002	Action	3.5	PlayStation 
3196	Tsunami 2265	2002	Shooter	3	P
3197	NFL Fever 2003	2002	Sports	7.7	Xbo
3198	Operation Flashpoint: Resistance	2002	Shooter	7.9	P
3199	c-12: Final Resistance	2002	Action	6.8	PlayStatio
3200	Robotech: Battlecry	2002	Action	8	Xbox,PlayStation 2,GameCub
3201	Industry Giant II	2002	Simulation	7.2	P
3202	NASCAR Thunder 2003	2002	Racing	8.5	PlayStation 2,GameCube,Xbox,P
3203	Terminator: Dawn of Fate	2002	Action	5.3	Xbox,PlayStation 
3204	Kelly Slater's Pro Surfer	2002	Sports	8.9	Xbox,PlayStation 2,GameCube,Game Boy Advance,P
3205	Air Hockey-e	2002	Sports, Action	6	Game Boy Advanc
3206	The Scorpion King: Rise of the Akkadian	2002	Action	5.7	GameCube,PlayStation 
3207	Links 2003	2002	Sports	8.6	P
3208	Tekken 4	2002	Fighting	9	PlayStation 
3209	Go! Go! Beckham! Adventure of Soccer Island	2002	Platformer	7	Game Boy Advanc
3210	Taz: Wanted	2002	Platformer	6.7	PlayStation 2,Xbox,PC,GameCub
3211	Tennis-e	2002	Action	6	Game Boy Advanc
3212	Excitebike-e	2002	Action	8	Game Boy Advanc
3213	Donkey Kong Jr.-e	2002	Platformer	8	Game Boy Advanc
3214	Pinball-e	2002	Pinball	5	Game Boy Advanc
3215	The Chessmaster 9000	2002	Strategy	8.2	P
3216	Super Mario Advance 3: Yoshi's Island	2002	Platformer	9.4	Game Boy Advanc
3217	NBA ShootOut 2003	2002	Sports	7.3	PlayStation 
3218	Burnout 2: Point of Impact	2002	Racing	9	PlayStation 2,GameCub
3219	Star Fox Adventures	2002	Adventure	9	GameCub
3220	Spring Break	2002	Simulation	7.8	P
3221	Creatures	2002	Virtual Pet	2.6	PlayStatio
3222	Mega Man Zero	2002	Action	8.8	Game Boy Advanc
3223	Balloon Fight-e	2002	Action	7	Game Boy Advanc
3224	Summoner 2	2002	RPG	8.4	PlayStation 
3225	Kingdom Hearts	2002	Action, RPG	9	PlayStation 2,Wireles
3226	Battlefield 1942	2002	Shooter	9.3	P
3227	Dino Stalker	2002	Shooter	4	PlayStation 
3228	Castlevania: Harmony of Dissonance	2002	Action, Adventure	9.2	Game Boy Advanc
3229	Sly Cooper and the Thievius Raccoonus	2002	Platformer	8.5	PlayStation 
3230	America's Army	2002	Shooter	8.8	P
3231	Egg Mania: Eggstreme Madness	2002	Puzzle	5.3	Xbox,GameCube,PlayStation 
3232	Tiny Toon Adventures: Plucky's Big Adventure	2002	Platformer	2.3	PlayStatio
3233	Super Bust-A-Move 2	2002	Puzzle	7.3	PlayStation 
3234	Conflict: Desert Storm	2002	Action	5.5	PlayStation 2,Xbox,GameCub
3235	Big Air Freestyle	2002	Sports	6.4	GameCub
3236	No One Lives Forever 2: A Spy in H.A.R.M.'s Way	2002	Shooter	9	P
3237	The Lord of the Rings: The Fellowship of the Ring	2002	Adventure	6	Game Boy Advance,Xbox,PC,PlayStation 
3238	Dual Hearts	2002	Action, RPG	7	PlayStation 
3239	SEGA Bass Fishing Duel	2002	Hunting	7	PlayStation 
3240	Grandia Xtreme	2002	RPG	7.5	PlayStation 
3241	Need for Speed: Hot Pursuit 2	2002	Racing	7.1	Xbox,GameCube,PlayStation 
3242	Unreal Tournament 2003	2002	Shooter	9	P
3243	Blinx: The Time Sweeper	2002	Platformer	8.8	Xbo
3244	Boulder Dash EX	2002	Puzzle, Action	7.5	Game Boy Advanc
3245	Capcom vs. SNK 2 EO	2002	Fighting	6.6	GameCube,Xbo
3246	Rocket Power: Beach Bandits	2002	Action	5	GameCub
3247	Empire Earth: The Art of Conquest	2002	Strategy	7.8	P
3248	Superman: Shadow of Apokolips	2002	Action	7	PlayStation 2,GameCub
3249	Tribes: Aerial Assault	2002	Action	7.2	PlayStation 
3250	Super Ghouls 'N Ghosts	2002	Action	8.5	Game Boy Advance,Wi
3251	Tom Clancy's Ghost Recon: Island Thunder	2002	Shooter	8.4	PC,Xbo
3252	The Adventures of Jimmy Neutron, Boy Genius: Jimmy Neutron vs. Jimmy Negatron	2002	Action	6	Game Boy Advanc
3253	Defender	2002	Shooter	7.5	PlayStation 2,Xbox,Game Boy Advance,GameCube,Wireless,Xbox 36
3254	Suikoden III	2002	RPG	9.4	PlayStation 
3255	ToeJam & Earl III: Mission to Earth	2002	Platformer	6.3	Xbo
3256	Contra: Shattered Soldier	2002	Shooter	8	PlayStation 
3257	Sniper: Path of Vengeance	2002	Shooter	3.5	P
3258	Star Wars: The Clone Wars	2002	Action	7.6	GameCube,PlayStation 2,Xbo
3259	The Land Before Time	2002	Action	6	Game Boy Advanc
3260	X-Men: Next Dimension	2002	Fighting	7.2	PlayStation 2,Xbox,GameCub
3261	Backyard Football	2002	Sports	4.5	GameCube,Nintendo D
3262	The Lord of the Rings: The Two Towers	2002	Action	8.3	PlayStation 2,Xbox,GameCube,Game Boy Advance,Wireles
3263	Nickelodeon Party Blast	2002	Party	1.1	Xbo
3264	Deathrow: Underground Team Combat	2002	Sports, Action	9.3	Xbo
3265	Shrek: Hassle at the Castle	2002	Action	7	Game Boy Advanc
3266	The House of the Dead III	2002	Shooter	8.1	Xbox,PlayStation 
3267	Ultimate Ride Disney Coaster	2002	Strategy	7.5	P
3268	Real War: Rogue States	2002	Strategy	7	P
3269	Whacked!	2002	Party	6.6	Xbo
3270	Doshin the Giant	2002	Adventure	6.8	GameCub
3271	Ballistic: Ecks vs. Sever	2002	Shooter	8.4	Game Boy Advanc
3272	NHL Hitz 20-03	2002	Sports, Action	7	Game Boy Advance,PlayStation 2,Xbox,GameCub
3273	Wild ARMs 3	2002	RPG	7.9	PlayStation 
3274	Space HoRSE	2002	Simulation	5.5	P
3275	Ty the Tasmanian Tiger	2002	Platformer	7.9	PlayStation 2,Xbox,GameCub
3276	Legaia 2: Duel Saga	2002	RPG	7.5	PlayStation 
3277	Gravity Games Bike: Street. Vert. Dirt.	2002	Sports	2	PlayStation 2,Xbo
3278	Monopoly Party	2002	Board	4.5	Xbox,PlayStation 2,GameCub
3279	Rayman Arena	2002	Battle	3.8	Xbox,GameCub
3280	Mario Party 4	2002	Party	6.9	GameCub
3281	BloodRayne	2002	Action	7.8	GameCube,PlayStation 2,Xbox,P
3282	DDRMAX: Dance Dance Revolution	2002	Music	9.3	PlayStation 
3283	Barbie: Groovy Games	2002	Puzzle	3	Game Boy Advanc
3284	TimeSplitters 2	2002	Shooter	9.1	GameCube,Xbox,PlayStation 
3285	Bikini Karate Babes	2002	Fighting	1.5	P
3286	Hitman 2: Silent Assassin	2002	Action	8.7	PC,Xbox,PlayStation 2,GameCub
3287	Casino Empire	2002	Simulation	6.2	P
3288	Tom and Jerry: The Magic Ring	2002	Action	5.5	Game Boy Advanc
3289	NBA Live 2003	2002	Sports	8.5	Xbox,GameCube,PlayStation 2,P
3290	NBA 2K3	2002	Sports	8.7	PlayStation 2,GameCube,Xbo
3291	Heroes of Might and Magic IV: The Gathering Storm	2002	Strategy	7.7	P
3292	Earth & Beyond	2002	RPG	8.8	P
3293	Egg Mania	2002	Puzzle	7	Game Boy Advanc
3294	SEGA Smash Pack	2002	Action	6	Game Boy Advanc
3295	Dino Island	2002	Simulation	3.5	P
3296	Sub Rebellion	2002	Action	7	PlayStation 
3297	NBA Inside Drive 2003	2002	Sports	8.2	Xbo
3298	NBA Starting Five	2002	Sports	3.8	Xbox,PlayStation 
3299	Mystic Heroes	2002	Fighting, Action	6.3	GameCube,PlayStation 
3300	RollerCoaster Tycoon 2	2002	Simulation	8	P
3301	Sudden Strike II	2002	Strategy	8	P
3302	The Sims: Unleashed	2002	Simulation	7	P
3303	NHL 2003	2002	Sports	8.6	PlayStation 2,PC,Xbox,GameCub
3304	Silent Scope 3	2002	Shooter	4	PlayStation 
3305	Antz Extreme Racing	2002	Racing, Action	2.4	PlayStation 2,P
3306	Syberia	2002	Adventure	7.1	PC,Xbox,Nintendo D
3307	Spyro the Dragon: Season of Flame	2002	Action	8.5	Game Boy Advanc
3308	Evolution Skateboarding	2002	Sports	3	PlayStation 2,GameCub
3309	Knockout Kings 2003	2002	Sports	8.3	GameCub
3310	Run Like Hell [2002]	2002	Action	6.6	PlayStation 2,Xbo
3311	Zapper: One Wicked Cricket	2002	Adventure	4.1	Xbox,PlayStation 2,Game Boy Advance,GameCube,P
3312	Loons: The Fight For Fame	2002	Action	4.6	Xbo
3313	Red Faction II	2002	Shooter	9.2	PlayStation 2,PC,Xbox,GameCub
3314	Godzilla: Destroy All Monsters Melee	2002	Fighting, Action	8.4	GameCube,Xbo
3315	Fire Pro Wrestling 2	2002	Wrestling	7	Game Boy Advanc
3316	Stronghold Crusader	2002	Strategy	8.4	P
3317	Incoming Forces	2002	Shooter	7.9	P
3318	Soccer Kid	2002	Platformer	7	Game Boy Advanc
3319	Phantom Crash	2002	Action	7.5	Xbo
3320	Hamtaro: Ham-Hams Unite!	2002	Adventure	8	Game Boy Colo
3321	Ratchet & Clank [2002]	2002	Platformer	9.2	PlayStation 
3322	Age of Mythology	2002	Strategy	9.3	P
3323	Serious Sam	2002	Shooter	7.7	Xbo
3324	FIFA Soccer 2003	2002	Sports	7	PC,PlayStation 2,GameCube,Xbox,Game Boy Advanc
3325	Dual Blades	2002	Fighting	5.5	Game Boy Advanc
3326	Phantasy Star Online Episode I & II	2002	RPG	9	GameCube,Xbo
3327	EverQuest: Planes of Power	2002	RPG	7.8	P
3328	Divine Divinity	2002	RPG	8.5	P
3329	Ripping Friends	2002	Action	3	Game Boy Advanc
3330	Sid Meier's Civilization III: Play the World	2002	Strategy	8.4	P
3331	Robotech: The Macross Saga	2002	Action	5	Game Boy Advanc
3332	Defender of the Crown	2002	Strategy	8	Game Boy Advance,Wireles
3333	Reign of Fire	2002	Action	6	Xbox,PlayStation 2,GameCub
3334	Jet X	2002	Sports	7	PlayStation 
3335	Shenmue II	2002	Action, RPG	8.3	Xbo
3336	Tony Hawk's Pro Skater 4	2002	Sports	9.2	Game Boy Advance,Xbox,GameCube,PlayStation 2,Wireless,P
3337	Iron Storm	2002	Shooter	8	P
3338	Tiger Woods PGA Tour 2003	2002	Sports	8.9	PlayStation 2,Xbox,GameCube,P
3339	V-Rally 3	2002	Racing	8	Game Boy Advance,PlayStation 2,Xbo
3340	Microsoft Combat Flight Simulator 3: Battle for Europe	2002	Simulation	7.3	P
3341	Worms Blast	2002	Puzzle	6	PC,GameCube,Macintos
3342	Sneakers	2002	Adventure	2	Xbo
3343	TransWorld Snowboarding	2002	Sports	6.7	Xbo
3344	Driver 2 Advance	2002	Racing, Action	7	Game Boy Advanc
3345	Monopoly (2001)	2002	Board	5	P
3346	Davis Cup Tennis	2002	Sports	5	Game Boy Advanc
3347	Toxic Grind	2002	Sports	4.9	Xbo
3348	Dr. Muto	2002	Platformer	8.5	Xbox,PlayStation 2,Xbox,GameCub
3349	Arx Fatalis	2002	RPG	8	PC,Xbo
3350	Metroid Prime	2002	Action, Adventure	9.8	GameCub
3351	NHL 2K3	2002	Sports	8.7	PlayStation 2,GameCube,Xbo
3352	MechWarrior 4: Mercenaries	2002	Action, Simulation	9.1	P
3353	Metal Gear Solid 2: Substance	2002	Action, Adventure	9	Xbox,PlayStation 2,P
3354	Superman: The Man of Steel	2002	Action	4.7	Xbo
3355	Harry Potter and the Chamber of Secrets	2002	Action, Adventure	8.9	GameCube,Xbox,PC,Game Boy Advance,PlayStation 
3356	Pro Rally 2002	2002	Racing	6.4	PlayStation 
3357	Tarzan: Return to the Jungle	2002	Action	7	Game Boy Advanc
3358	Spyro: Enter The Dragonfly	2002	Platformer	6	PlayStation 
3359	Rally Fusion: Race of Champions	2002	Racing	8	PlayStation 2,Xbo
3360	PK: Out of the Shadows	2002	Platformer	4	PlayStation 2,GameCub
3361	WWE SmackDown! Shut Your Mouth	2002	Wrestling	8.2	PlayStation 
3362	Tiny Toon Adventures: Wacky Stackers	2002	Puzzle	5	Game Boy Advanc
3363	Barbie: Secret Agent Barbie	2002	Puzzle	7.5	Game Boy Advanc
3364	The Sims (Deluxe Edition)	2002	Simulation	9.5	P
3365	Sonic Mega Collection	2002	Compilation	7.5	GameCub
3366	Shrek Extra Large	2002	Action	3	GameCub
3367	Metroid Fusion	2002	Action, Adventure	9.5	Game Boy Advanc
3368	Shinobi [2002]	2002	Action	7.8	PlayStation 
3369	BMX XXX	2002	Sports	6.8	Xbox,PlayStation 2,GameCub
3370	Treasure Planet	2002	Action	8.5	PC,PlayStation,PlayStation 2,Game Boy Advanc
3371	The Flintstones: Big Trouble in Bedrock	2002	Action	4	Game Boy Advanc
3372	MechAssault	2002	Action	9.2	Xbo
3373	Swingerz Golf	2002	Sports	6.9	GameCub
3374	NHL FaceOff 2003	2002	Sports	5.2	PlayStation 
3375	Kakuto Chojin	2002	Fighting	6.2	Xbo
3376	RAD: Robot Alchemic Drive	2002	Action	7.3	PlayStation 
3377	ATV Offroad Fury 2	2002	Racing	9	PlayStation 
3378	Rocky	2002	Sports	8.7	Xbox,GameCube,PlayStation 
3379	Resident Evil Zero [2002]	2002	Action, Adventure	8.2	GameCub
3380	NCAA Final Four 2003	2002	Sports	6	PlayStation 
3381	Unreal Championship	2002	Shooter	9.2	Xbo
3382	Frogger's Adventure 2: The Lost Wand	2002	Action	8	Game Boy Advanc
3383	Beam Breakers	2002	Racing	8	P
3384	The Simpsons Skateboarding	2002	Sports	2.5	PlayStation 
3385	Haven: Call of the King	2002	Platformer	7.4	PlayStation 
3386	Disney Sports Skateboarding	2002	Sports	3	GameCube,Game Boy Advanc
3387	Mortal Kombat: Deadly Alliance	2002	Fighting	8.6	GameCube,Game Boy Advance,PlayStation 2,Xbo
3388	James Cameron's Dark Angel	2002	Action	4	PlayStation 2,Xbo
3389	Minority Report	2002	Action	5.4	Xbox,PlayStation 2,GameCube,Game Boy Advanc
3390	Yu-Gi-Oh! The Eternal Duelist Soul	2002	Card	8	Game Boy Advanc
3391	Combat Mission: Barbarossa to Berlin	2002	Strategy	9	P
3392	James Bond 007: NightFire	2002	Shooter	8.5	GameCube,PlayStation 2,Xbox,PC,Game Boy Advanc
3393	Urban Champion-e	2002	Fighting	5	Game Boy Advanc
3394	Rallisport Challenge	2002	Racing	8	P
3395	Mario Bros.-e	2002	Platformer	6	Game Boy Advanc
3396	Baseball-e	2002	Sports	6	Game Boy Advanc
3397	Battle Realms: Winter of the Wolf	2002	Strategy	7.5	P
3398	NASCAR: Dirt to Daytona	2002	Racing	8.3	GameCube,PlayStation 
3399	Galidor: Defenders of the Outer Dimension	2002	Action	4	Game Boy Advanc
3400	Ice Climber-e	2002	Action	7	Game Boy Advanc
3401	Donkey Kong-e	2002	Action	8	Game Boy Advanc
3402	Project Nomads	2002	Action, Adventure	6.3	P
3403	Total Immersion Racing	2002	Racing	5.8	PlayStation 2,Xbox,P
3404	Turbo Turtle Adventure	2002	Adventure	7.5	Game Boy Advanc
3405	Fighter Maker 2	2002	Fighting	7.5	PlayStation 
3406	Hot Wheels: Velocity X	2002	Racing	4.6	PlayStation 2,GameCube,Game Boy Advanc
3407	Metropolismania	2002	Simulation	6.5	PlayStation 
3408	Spyro: Enter the Dragonfly	2002	Platformer	6	GameCub
3409	Tom Clancy's Splinter Cell	2002	Adventure	9.6	Xbox,PC,PlayStation 2,GameCube,Game Boy Advance,Wireles
3410	Shox	2002	Racing	7.8	PlayStation 
3411	Medal of Honor: Allied Assault Spearhead	2002	Shooter	8.4	P
3412	Michael Schumacher Racing World Kart 2002	2002	Racing	7	P
3413	Soldiers of Anarchy	2002	Strategy	8	P
3414	Disney Sports Soccer	2002	Sports	8.1	GameCub
3415	Doom II	2002	Shooter	7.8	Game Boy Advance,Xbox 36
3416	Cubivore: Survival of the Fittest	2002	Action	6.7	GameCub
3417	Rygar: The Legendary Adventure	2002	Action, Adventure	8.4	PlayStation 
3418	Masters of the Universe: He-Man -- Power of Grayskull	2002	Action	6	Game Boy Advanc
3419	Star Trek: Starfleet Command III	2002	Strategy	8.2	P
3420	Robin Hood: The Legend of Sherwood	2002	Strategy	8.2	P
3421	Cabela's Big Game Hunter [2002]	2002	Hunting	6	PlayStation 
3422	Activision Anthology	2002	Compilation	8.5	PlayStation 2,Game Boy Advanc
3423	Island Xtreme Stunts	2002	Action	5	PlayStation 
3424	Shrek Super Party	2002	Party	2.9	PlayStation 2,Xbox,GameCub
3425	Drome Racers	2002	Racing	6.2	PlayStation 2,PC,Game Boy Advance,GameCub
3426	Dragon's Lair 3D: Return to the Lair	2002	Action, Adventure	7.8	Xbox,PC,GameCub
3427	Die Hard: Vendetta	2002	Shooter	6.3	GameCub
3428	Mary-Kate and Ashley: Sweet 16 -- Licensed to Drive	2002	Party	5	PlayStation 2,GameCube,Game Boy Advanc
3429	Bugdom II	2002	Action	8	Macintosh,iPhon
3430	Quantum Redshift	2002	Racing	6.2	Xbo
3431	Ninja Assault	2002	Shooter	5	PlayStation 
3432	Kong: The Animated Series	2002	Action	5	Game Boy Advanc
3433	GunGrave	2002	Action	8	PlayStation 
3434	Chase: Hollywood Stunt Driver	2002	Racing	4.9	Xbo
3435	Geoff Crammond's Grand Prix 4	2002	Racing	8.3	P
3436	Prince of Qin	2002	Action, RPG	6.8	P
3437	Dynasty Tactics	2002	Strategy	7.6	PlayStation 
3438	Hard Hitter Tennis	2002	Sports	4	PlayStation 
3439	Magical Mirror Starring Mickey Mouse	2002	Action, Adventure	4.8	GameCub
3440	Sabrina the Teenage Witch: Potion Commotion	2002	Action	6	Game Boy Advanc
3441	Emperor: Rise of the Middle Kingdom	2002	Simulation	8.8	P
3442	Mobile Suit Gundam: Federation vs. Zeon	2002	Action	7	PlayStation 
3443	Armored Core 3	2002	Action, Simulation	7.3	PlayStation 
3444	Mobile Forces	2002	Shooter	6.8	P
3445	Farscape	2002	Action	4.5	P
3446	Riding Spirits	2002	Racing, Simulation	6.1	PlayStation 
3447	Europa 1400: The Guild	2002	Simulation	8.5	P
3448	The Powerpuff Girls: Relish Rampage	2002	Action	3.8	PlayStation 
3449	Gladiators of Rome	2002	Strategy	3	P
3450	NCAA College Basketball 2K3	2002	Sports	8.6	Xbox,GameCube,PlayStation 
3451	Whirl Tour	2002	Sports	5.1	GameCube,PlayStation 
3452	Disney Golf	2002	Sports	5.5	PlayStation 
3453	O.R.B.	2002	Strategy	7.4	P
3454	WWE Road to WrestleMania X8	2002	Wrestling	7	Game Boy Advanc
3455	The King of Fighters EX: Neoblood	2002	Fighting	8	Game Boy Advanc
3456	Contra Advance: The Alien Wars EX	2002	Action	7	Game Boy Advanc
3457	Metal Dungeon	2002	RPG	3.5	Xbo
3458	SpongeBob SquarePants: Revenge of the Flying Dutchman	2002	Platformer	4	PlayStation 
3459	Star Wars Bounty Hunter	2002	Action, Adventure	8.2	PlayStation 2,GameCub
3460	The Legend of Zelda: A Link to the Past w/ the Four Swords	2002	Action, Adventure	9.7	Game Boy Advanc
3461	Kirby: Nightmare in Dream Land	2002	Platformer	8.5	Game Boy Advanc
3462	The King of Fighters 2000	2002	Fighting	7.4	PlayStation 
3463	Legends of Wrestling II	2002	Wrestling	6.8	Xbox,GameCube,PlayStation 2,Game Boy Advanc
3464	SeaBlade	2002	Action	5.7	Xbo
3465	Tony Tough and the Night of the Roasted Moths	2002	Adventure	5.2	P
3466	Uncommon Valor: Campaign for the South Pacific	2002	Strategy	8.2	P
3467	Dragon Ball Z Budokai	2002	Fighting	6.2	PlayStation 2,GameCub
3468	Tom and Jerry in War of the Whiskers	2002	Action	6.3	PlayStation 
3469	Super Monkey Ball Jr.	2002	Puzzle, Action	9	Game Boy Advanc
3470	NCAA March Madness 2003	2002	Sports	7.1	PlayStation 
3471	Asheron's Call 2	2002	RPG	9	P
3472	Evolution Snowboarding	2002	Sports	2	PlayStation 2,GameCub
3473	Car Battler Joe	2002	Action	7.7	Game Boy Advanc
3474	Pulse Racer	2002	Racing	1.9	Xbo
3475	Altered Beast: Guardian of the Realms	2002	Action	7.5	Game Boy Advanc
3476	Fighter Ace 3.5 Online	2002	Simulation	8.4	P
3477	Nightcaster II: Equinox	2002	Action, RPG	3.7	Xbo
3478	Justice League: Injustice for All	2002	Action	5	Game Boy Advanc
3479	Hegemonia: Legions of Iron	2002	Strategy	8.2	P
3480	Hearts of Iron	2002	Strategy	8.5	P
3481	Pro Race Driver	2002	Racing	9.3	PlayStation 2,Xbox,P
3482	Denki Blocks!	2002	Puzzle	8	Game Boy Advance,iPhon
3483	Dave Mirra Freestyle BMX 3	2002	Sports	8	Game Boy Advanc
3484	The Elder Scrolls III: Tribunal	2002	RPG	8.6	P
3485	The Powerpuff Girls: Him and Seek	2002	Action	7.5	Game Boy Advanc
3486	Godzilla: Domination	2002	Fighting, Action	5.5	Game Boy Advanc
3487	World War II Panzer Claws	2002	Strategy	7	P
3488	Summoner: A Goddess Reborn	2003	Action	8	GameCub
3489	Galerians: Ash	2003	Adventure	4.4	PlayStation 
